attack_rate,tau,kappa,acc_mean
0,0.02,0.5,83.89
0,0.02,1.0,83.85
0,0.02,2.0,83.76
0,0.02,3.0,83.72
0,0.02,5.0,83.71
0,0.02,8.0,83.68
0,0.02,12.0,83.5
0,0.05,0.5,83.89
0,0.05,1.0,83.84
0,0.05,2.0,83.79
0,0.05,3.0,83.74
0,0.05,5.0,83.74
0,0.05,8.0,83.64
0,0.05,12.0,83.61
0,0.1,0.5,83.87
0,0.1,1.0,83.85
0,0.1,2.0,83.81
0,0.1,3.0,83.82
0,0.1,5.0,83.79
0,0.1,8.0,83.61
0,0.1,12.0,83.53
0,0.2,0.5,83.84
0,0.2,1.0,83.84
0,0.2,2.0,83.82
0,0.2,3.0,83.69
0,0.2,5.0,83.76
0,0.2,8.0,83.68
0,0.2,12.0,83.63
0,0.3,0.5,83.89
0,0.3,1.0,83.92
0,0.3,2.0,83.82
0,0.3,3.0,83.87
0,0.3,5.0,83.81
0,0.3,8.0,83.72
0,0.3,12.0,83.72
0,0.4,0.5,83.89
0,0.4,1.0,83.84
0,0.4,2.0,83.84
0,0.4,3.0,83.85
0,0.4,5.0,83.81
0,0.4,8.0,83.82
0,0.4,12.0,83.82
0,0.5,0.5,83.89
0,0.5,1.0,83.87
0,0.5,2.0,83.9
0,0.5,3.0,83.82
0,0.5,5.0,83.9
0,0.5,8.0,83.85
0,0.5,12.0,83.81
100,0.02,0.5,63.1
100,0.02,1.0,66.83
100,0.02,2.0,66.68
100,0.02,3.0,69.34
100,0.02,5.0,70.85
100,0.02,8.0,71.81
100,0.02,12.0,72.53
100,0.05,0.5,65.82
100,0.05,1.0,66.73
100,0.05,2.0,64.11
100,0.05,3.0,67.94
100,0.05,5.0,69.81
100,0.05,8.0,70.36
100,0.05,12.0,71.99
100,0.1,0.5,65.67
100,0.1,1.0,66.28
100,0.1,2.0,65.38
100,0.1,3.0,68.47
100,0.1,5.0,69.74
100,0.1,8.0,70.1
100,0.1,12.0,71.7
100,0.2,0.5,62.03
100,0.2,1.0,65.54
100,0.2,2.0,63.49
100,0.2,3.0,64.32
100,0.2,5.0,67.81
100,0.2,8.0,68.67
100,0.2,12.0,69.42
100,0.3,0.5,64.83
100,0.3,1.0,64.75
100,0.3,2.0,55.57
100,0.3,3.0,60.9
100,0.3,5.0,64.36
100,0.3,8.0,59.96
100,0.3,12.0,63.72
100,0.4,0.5,60.86
100,0.4,1.0,59.65
100,0.4,2.0,62.86
100,0.4,3.0,61.62
100,0.4,5.0,59.11
100,0.4,8.0,47.15
100,0.4,12.0,52.28
100,0.5,0.5,60.27
100,0.5,1.0,58.92
100,0.5,2.0,60.61
100,0.5,3.0,50.08
100,0.5,5.0,52.91
100,0.5,8.0,29.9
100,0.5,12.0,37.37
